names	scores	logfoldchanges	pvals	pvals_adj
RPS28	9.089625	0.3960836	9.938111470730725e-20	1.2336509039000407e-16
CD3E	8.524617	1.3763124	1.5331568053347597e-17	4.078197102190461e-15
MT-ND3	8.091046	0.63138133	5.915421976451471e-16	8.472704400117414e-14
RPS29	7.939126	0.508132	2.036106967167323e-15	2.445955595397133e-13
RPS27	7.520918	0.43384495	5.4392960648020235e-14	4.501319676738385e-12
LINC00861	7.512383	1.3597379	5.806056700260722e-14	4.70038155473281e-12
CD7	7.4850717	1.2836839	7.150814968742146e-14	5.5478406132491145e-12
RPL39	7.4475183	0.38498327	9.511242948490568e-14	7.228544640852832e-12
MGAT4A	7.3502207	0.9199351	1.9787969143591201e-13	1.4171230209756467e-11
RPL17	7.1249003	0.8724811	1.0415588531673834e-12	6.46460861532556e-11
CRIP1	7.04638	1.6744821	1.8363258513017776e-12	1.0854726143250509e-10
CD3D	7.0386987	0.8866615	1.9404380221763687e-12	1.111721722243815e-10
IL10RA	7.025896	0.9522669	2.1269661322365916e-12	1.1822122203655324e-10
GNLY	6.909822	0.81951374	4.852619659195829e-12	2.4755007686089407e-10
RPS21	6.802283	0.3288519	1.0297417072971728e-11	5.045734365756147e-10
LEF1	6.670846	1.248921	2.5433298076712233e-11	1.1142776710314865e-09
RPL3	6.6503625	0.24009153	2.923723306884451e-11	1.2514879994066317e-09
ITK	6.6042743	1.6226971	3.9946980910315854e-11	1.6529172990001803e-09
MT-CO2	6.5052695	0.29066604	7.755409242540081e-11	3.008452502002006e-09
MT-CYB	6.315796	0.4235505	2.6877464368102717e-10	9.624199741039858e-09
CTSW	6.207403	0.9614258	5.386728468255599e-10	1.823652437798532e-08
LAT	6.1980147	0.8332729	5.717976326210874e-10	1.9012271284651158e-08
GIMAP5	6.186066	1.3374481	6.168418914369167e-10	2.0150168453605945e-08
MIF	6.1570473	0.85484767	7.411363444432088e-10	2.358967304877359e-08
MT-ND4L	6.1536336	0.66834503	7.572755613474577e-10	2.389910330896553e-08
RASSF3	6.1391244	0.7066529	8.297763433325613e-10	2.5122659370491533e-08
GIMAP7	6.124615	1.2176689	9.090312988020181e-10	2.665537446250957e-08
PRKCQ-AS1	6.0921826	1.2537732	1.1138156492260988e-09	3.215387192029451e-08
CDC42SE1	6.0870614	0.5980346	1.1500170762723291e-09	3.294356609260118e-08
TMA7	6.0802336	0.38206288	1.200074715977082e-09	3.411510108624927e-08
ARRDC3	6.07682	0.68295723	1.2258938590626638e-09	3.4585066145070906e-08
SNORA76	6.022197	0.63869786	1.720655975475186e-09	4.677169965452257e-08
CDC42SE2	5.9914713	0.41000393	2.079511414007465e-09	5.492269862243829e-08
PPP3CA	5.9846435	0.66149044	2.1686455687148147e-09	5.6873493647140634e-08
LCP2	5.953918	1.0666023	2.6179828296170423e-09	6.723702108616459e-08
PPDPF	5.950504	0.5029876	2.6731822409356076e-09	6.818445661126165e-08
TRAT1	5.8847857	1.3926378	3.9857063803702695e-09	9.764980631907161e-08
CD6	5.8685694	1.1034178	4.395718324203779e-09	1.0699120940741747e-07
IL32	5.8583274	0.72900546	4.6755218558012565e-09	1.1306261942210311e-07
WIBG	5.836137	0.50419676	5.342504562705146e-09	1.2753517302252541e-07
RPS14	5.784928	0.195547	7.25435600021115e-09	1.677964083527101e-07
KLRB1	5.7772465	0.9213005	7.593311725816662e-09	1.745524251045756e-07
SMIM4	5.762737	0.71949905	8.276071610562258e-09	1.8792738218130396e-07
TC2N	5.749081	1.0859717	8.972971566867826e-09	2.0009189290428612e-07
IPCEF1	5.708967	1.5219345	1.1366367836301902e-08	2.475342328794636e-07
HNRNPH1	5.685923	0.5828729	1.3010782214038158e-08	2.737409772038311e-07
PCBP2	5.685923	0.24250756	1.3010782214038158e-08	2.737409772038311e-07
TOMM5	5.651784	0.5106234	1.5879123036521515e-08	3.2137964232612024e-07
HMGB2	5.634714	0.4993399	1.7534899966904705e-08	3.4734025253592087e-07
SH2D1A	5.633007	1.3602173	1.770941423434742e-08	3.489410508397344e-07
CD27	5.615937	1.0208697	1.954994323608545e-08	3.831788874272748e-07
MDFIC	5.6125236	1.0858138	1.9939716725847213e-08	3.887722779426965e-07
BNIP2	5.6039886	0.5392093	2.0947449120539756e-08	4.06293231900469e-07
SELM	5.5826516	0.7424934	2.3687917297357974e-08	4.570663420485031e-07
FYB	5.571556	0.79881227	2.524739878822928e-08	4.821605799352093e-07
SAMSN1	5.528882	0.76858705	3.2227831607508366e-08	6.030977130972922e-07
RPL36A	5.5135193	0.51810515	3.517288624788192e-08	6.516608377468271e-07
RPL36	5.4964495	0.24158368	3.8751427706779585e-08	7.144075088121148e-07
SELPLG	5.4862075	1.278214	4.106543998871633e-08	7.459887732584371e-07
TXK	5.4759655	1.3336742	4.351319493617676e-08	7.866171744772925e-07
DOK2	5.467431	0.7144611	4.56605242004385e-08	8.174990005886201e-07
SVIP	5.457189	0.39954954	4.837313276824384e-08	8.497242756082079e-07
